,Date,Offence,Sum Value
0,2010-04-01,Arson and Criminal Damage,8388
1,2010-04-01,Burglary,7988
2,2010-04-01,Drug Offences,9489
3,2010-04-01,Historical Fraud and Forgery,2120
4,2010-04-01,Miscellaneous Crimes Against Society,1030
5,2010-04-01,Possession of Weapons,903
6,2010-04-01,Public Order Offences,3757
7,2010-04-01,Robbery,3405
8,2010-04-01,Sexual Offences,1025
9,2010-04-01,Theft,21929
10,2010-04-01,Vehicle Offences,9160
11,2010-04-01,Violence Against the Person,15345
12,2010-05-01,Arson and Criminal Damage,8076
13,2010-05-01,Burglary,7824
14,2010-05-01,Drug Offences,9324
15,2010-05-01,Historical Fraud and Forgery,2248
16,2010-05-01,Miscellaneous Crimes Against Society,1100
17,2010-05-01,Possession of Weapons,876
18,2010-05-01,Public Order Offences,3901
19,2010-05-01,Robbery,3781
20,2010-05-01,Sexual Offences,1142
21,2010-05-01,Theft,22014
22,2010-05-01,Vehicle Offences,9402
23,2010-05-01,Violence Against the Person,16591
24,2010-06-01,Arson and Criminal Damage,8432
25,2010-06-01,Burglary,8103
26,2010-06-01,Drug Offences,10163
27,2010-06-01,Historical Fraud and Forgery,2204
28,2010-06-01,Miscellaneous Crimes Against Society,1062
29,2010-06-01,Possession of Weapons,866
30,2010-06-01,Public Order Offences,4060
31,2010-06-01,Robbery,3385
32,2010-06-01,Sexual Offences,1094
33,2010-06-01,Theft,22473
34,2010-06-01,Vehicle Offences,10198
35,2010-06-01,Violence Against the Person,17164
36,2010-07-01,Arson and Criminal Damage,8387
37,2010-07-01,Burglary,8015
38,2010-07-01,Drug Offences,10820
39,2010-07-01,Historical Fraud and Forgery,2444
40,2010-07-01,Miscellaneous Crimes Against Society,1207
41,2010-07-01,Possession of Weapons,958
42,2010-07-01,Public Order Offences,4263
43,2010-07-01,Robbery,3287
44,2010-07-01,Sexual Offences,1230
45,2010-07-01,Theft,23537
46,2010-07-01,Vehicle Offences,8997
47,2010-07-01,Violence Against the Person,17398
48,2010-08-01,Arson and Criminal Damage,7644
49,2010-08-01,Burglary,7992
50,2010-08-01,Drug Offences,11806
51,2010-08-01,Historical Fraud and Forgery,2248
52,2010-08-01,Miscellaneous Crimes Against Society,1093
53,2010-08-01,Possession of Weapons,913
54,2010-08-01,Public Order Offences,3790
55,2010-08-01,Robbery,2898
56,2010-08-01,Sexual Offences,967
57,2010-08-01,Theft,21416
58,2010-08-01,Vehicle Offences,8645
59,2010-08-01,Violence Against the Person,15262
60,2010-09-01,Arson and Criminal Damage,7352
61,2010-09-01,Burglary,8487
62,2010-09-01,Drug Offences,11383
63,2010-09-01,Historical Fraud and Forgery,2462
64,2010-09-01,Miscellaneous Crimes Against Society,1098
65,2010-09-01,Possession of Weapons,816
66,2010-09-01,Public Order Offences,3654
67,2010-09-01,Robbery,3207
68,2010-09-01,Sexual Offences,1042
69,2010-09-01,Theft,22018
70,2010-09-01,Vehicle Offences,9600
71,2010-09-01,Violence Against the Person,15237
72,2010-10-01,Arson and Criminal Damage,7597
73,2010-10-01,Burglary,8889
74,2010-10-01,Drug Offences,10857
75,2010-10-01,Historical Fraud and Forgery,2443
76,2010-10-01,Miscellaneous Crimes Against Society,1062
77,2010-10-01,Possession of Weapons,914
78,2010-10-01,Public Order Offences,3619
79,2010-10-01,Robbery,3477
80,2010-10-01,Sexual Offences,1021
81,2010-10-01,Theft,22749
82,2010-10-01,Vehicle Offences,9819
83,2010-10-01,Violence Against the Person,14937
84,2010-11-01,Arson and Criminal Damage,7482
85,2010-11-01,Burglary,9975
86,2010-11-01,Drug Offences,10464
87,2010-11-01,Historical Fraud and Forgery,2433
88,2010-11-01,Miscellaneous Crimes Against Society,1115
89,2010-11-01,Possession of Weapons,851
90,2010-11-01,Public Order Offences,3520
91,2010-11-01,Robbery,3575
92,2010-11-01,Sexual Offences,1086
93,2010-11-01,Theft,22605
94,2010-11-01,Vehicle Offences,9450
95,2010-11-01,Violence Against the Person,14596
96,2010-12-01,Arson and Criminal Damage,6055
97,2010-12-01,Burglary,8980
98,2010-12-01,Drug Offences,7156
99,2010-12-01,Historical Fraud and Forgery,2165
100,2010-12-01,Miscellaneous Crimes Against Society,833
101,2010-12-01,Possession of Weapons,626
102,2010-12-01,Public Order Offences,2936
103,2010-12-01,Robbery,3296
104,2010-12-01,Sexual Offences,805
105,2010-12-01,Theft,18642
106,2010-12-01,Vehicle Offences,7808
107,2010-12-01,Violence Against the Person,13425
