Date,Offence,Sum Value,year
2010-04-01,Arson and Criminal Damage,8388,8040
2010-04-01,Burglary,7988,8040
2010-04-01,Drug Offences,9489,8040
2010-04-01,Historical Fraud and Forgery,2120,4020
2010-04-01,Miscellaneous Crimes Against Society,1030,96480
2010-04-01,Possession of Weapons,903,24120
2010-04-01,Public Order Offences,3757,16080
2010-04-01,Robbery,3405,8040
2010-04-01,Sexual Offences,1025,8040
2010-04-01,Theft,21929,16080
2010-04-01,Vehicle Offences,9160,16080
2010-04-01,Violence Against the Person,15345,12060
2010-05-01,Arson and Criminal Damage,8076,8040
2010-05-01,Burglary,7824,8040
2010-05-01,Drug Offences,9324,8040
2010-05-01,Historical Fraud and Forgery,2248,4020
2010-05-01,Miscellaneous Crimes Against Society,1100,96480
2010-05-01,Possession of Weapons,876,24120
2010-05-01,Public Order Offences,3901,16080
2010-05-01,Robbery,3781,8040
2010-05-01,Sexual Offences,1142,8040
2010-05-01,Theft,22014,16080
2010-05-01,Vehicle Offences,9402,16080
2010-05-01,Violence Against the Person,16591,12060
2010-06-01,Arson and Criminal Damage,8432,8040
2010-06-01,Burglary,8103,8040
2010-06-01,Drug Offences,10163,8040
2010-06-01,Historical Fraud and Forgery,2204,4020
2010-06-01,Miscellaneous Crimes Against Society,1062,96480
2010-06-01,Possession of Weapons,866,24120
2010-06-01,Public Order Offences,4060,16080
2010-06-01,Robbery,3385,8040
2010-06-01,Sexual Offences,1094,8040
2010-06-01,Theft,22473,16080
2010-06-01,Vehicle Offences,10198,16080
2010-06-01,Violence Against the Person,17164,12060
2010-07-01,Arson and Criminal Damage,8387,8040
2010-07-01,Burglary,8015,8040
2010-07-01,Drug Offences,10820,8040
2010-07-01,Historical Fraud and Forgery,2444,4020
2010-07-01,Miscellaneous Crimes Against Society,1207,96480
2010-07-01,Possession of Weapons,958,24120
2010-07-01,Public Order Offences,4263,16080
2010-07-01,Robbery,3287,8040
2010-07-01,Sexual Offences,1230,8040
2010-07-01,Theft,23537,16080
2010-07-01,Vehicle Offences,8997,16080
2010-07-01,Violence Against the Person,17398,12060
2010-08-01,Arson and Criminal Damage,7644,8040
2010-08-01,Burglary,7992,8040
2010-08-01,Drug Offences,11806,8040
2010-08-01,Historical Fraud and Forgery,2248,4020
2010-08-01,Miscellaneous Crimes Against Society,1093,96480
2010-08-01,Possession of Weapons,913,24120
2010-08-01,Public Order Offences,3790,16080
2010-08-01,Robbery,2898,8040
2010-08-01,Sexual Offences,967,8040
2010-08-01,Theft,21416,16080
2010-08-01,Vehicle Offences,8645,16080
2010-08-01,Violence Against the Person,15262,12060
2010-09-01,Arson and Criminal Damage,7352,8040
2010-09-01,Burglary,8487,8040
2010-09-01,Drug Offences,11383,8040
2010-09-01,Historical Fraud and Forgery,2462,4020
2010-09-01,Miscellaneous Crimes Against Society,1098,96480
2010-09-01,Possession of Weapons,816,24120
2010-09-01,Public Order Offences,3654,16080
2010-09-01,Robbery,3207,8040
2010-09-01,Sexual Offences,1042,8040
2010-09-01,Theft,22018,16080
2010-09-01,Vehicle Offences,9600,16080
2010-09-01,Violence Against the Person,15237,12060
2010-10-01,Arson and Criminal Damage,7597,8040
2010-10-01,Burglary,8889,8040
2010-10-01,Drug Offences,10857,8040
2010-10-01,Historical Fraud and Forgery,2443,4020
2010-10-01,Miscellaneous Crimes Against Society,1062,96480
2010-10-01,Possession of Weapons,914,24120
2010-10-01,Public Order Offences,3619,16080
2010-10-01,Robbery,3477,8040
2010-10-01,Sexual Offences,1021,8040
2010-10-01,Theft,22749,16080
2010-10-01,Vehicle Offences,9819,16080
2010-10-01,Violence Against the Person,14937,12060
2010-11-01,Arson and Criminal Damage,7482,8040
2010-11-01,Burglary,9975,8040
2010-11-01,Drug Offences,10464,8040
2010-11-01,Historical Fraud and Forgery,2433,4020
2010-11-01,Miscellaneous Crimes Against Society,1115,96480
2010-11-01,Possession of Weapons,851,24120
2010-11-01,Public Order Offences,3520,16080
2010-11-01,Robbery,3575,8040
2010-11-01,Sexual Offences,1086,8040
2010-11-01,Theft,22605,16080
2010-11-01,Vehicle Offences,9450,16080
2010-11-01,Violence Against the Person,14596,12060
2010-12-01,Arson and Criminal Damage,6055,8040
2010-12-01,Burglary,8980,8040
2010-12-01,Drug Offences,7156,8040
2010-12-01,Historical Fraud and Forgery,2165,4020
2010-12-01,Miscellaneous Crimes Against Society,833,96480
2010-12-01,Possession of Weapons,626,24120
2010-12-01,Public Order Offences,2936,16080
2010-12-01,Robbery,3296,8040
2010-12-01,Sexual Offences,805,8040
2010-12-01,Theft,18642,16080
2010-12-01,Vehicle Offences,7808,16080
2010-12-01,Violence Against the Person,13425,12060
2011-01-01,Arson and Criminal Damage,6742,8044
2011-01-01,Burglary,9766,8044
2011-01-01,Drug Offences,9473,8044
2011-01-01,Historical Fraud and Forgery,2325,4022
2011-01-01,Miscellaneous Crimes Against Society,1090,96528
2011-01-01,Possession of Weapons,886,24132
2011-01-01,Public Order Offences,3141,16088
2011-01-01,Robbery,3771,8044
2011-01-01,Sexual Offences,1005,8044
2011-01-01,Theft,20380,16088
2011-01-01,Vehicle Offences,9090,16088
2011-01-01,Violence Against the Person,14079,12066
2011-02-01,Arson and Criminal Damage,6286,8044
2011-02-01,Burglary,8600,8044
2011-02-01,Drug Offences,9728,8044
2011-02-01,Historical Fraud and Forgery,2346,4022
2011-02-01,Miscellaneous Crimes Against Society,1134,96528
2011-02-01,Possession of Weapons,888,24132
2011-02-01,Public Order Offences,3098,16088
2011-02-01,Robbery,3730,8044
2011-02-01,Sexual Offences,988,8044
2011-02-01,Theft,20296,16088
2011-02-01,Vehicle Offences,8603,16088
2011-02-01,Violence Against the Person,13151,12066
2011-03-01,Arson and Criminal Damage,7210,8044
2011-03-01,Burglary,9211,8044
2011-03-01,Drug Offences,10844,8044
2011-03-01,Historical Fraud and Forgery,2458,4022
2011-03-01,Miscellaneous Crimes Against Society,1220,96528
2011-03-01,Possession of Weapons,841,24132
2011-03-01,Public Order Offences,3441,16088
2011-03-01,Robbery,4030,8044
2011-03-01,Sexual Offences,1167,8044
2011-03-01,Theft,23062,16088
2011-03-01,Vehicle Offences,9355,16088
2011-03-01,Violence Against the Person,14719,12066
2011-04-01,Arson and Criminal Damage,7208,8044
2011-04-01,Burglary,8236,8044
2011-04-01,Drug Offences,8441,8044
2011-04-01,Historical Fraud and Forgery,1970,4022
